x,z
0.54,0.325825688073394
0.54661996497373,0.322844036697248
0.553870402802102,0.319266055045871
0.561120840630473,0.315688073394495
0.569947460595447,0.309426605504587
0.579719789842382,0.305848623853211
0.587600700525394,0.302270642201835
0.597057793345009,0.299587155963303
0.613134851138354,0.295114678899082
0.622907180385289,0.291834862385321
0.632679509632224,0.289151376146789
0.641821366024518,0.287064220183486
0.650647985989492,0.284977064220183
0.661050788091068,0.282889908256881
0.675551663747811,0.279908256880734
0.686900175131349,0.275733944954128
0.712434325744308,0.268876146788991
0.740805604203152,0.260229357798165
0.757828371278459,0.254266055045872
0.777057793345009,0.251582568807339
0.785884413309983,0.252477064220183
0.794395796847636,0.256353211009174
0.806059544658494,0.26052752293578
0.818669001751313,0.262316513761468
0.831593695271454,0.261422018348624
0.841050788091068,0.258738532110092
0.848931698774081,0.25545871559633
0.856182136602452,0.25098623853211
0.863432574430823,0.244128440366972
0.868476357267951,0.235183486238532
0.873520140105079,0.225940366972477
0.876672504378284,0.212821100917431
0.879194395796848,0.200596330275229
0.888966725043783,0.199701834862385
0.899684763572679,0.200298165137615
